text,label
"Hey, are we still meeting up for lunch today at 1 PM?",ham
URGENT: Your account access has been locked! Click here now!!,spam
Don't forget to submit the monthly project report by Friday.,ham
CONGRATULATIONS! You've won a free $1000 Walmart gift card!,spam
Can you please send me the updated login credentials for the site?,ham
Double your cash overnight! Guaranteed returns inside!,spam
The team meeting has been rescheduled to tomorrow morning.,ham
Get cheap medication online without a prescription today.,spam
"Hey mom, I'll be home late tonight, don't wait up for dinner.",ham
LOAN APPROVED: Claim your cash prize before the link expires.,spam
